Kanban5.pet,fOK541016,BestFS-Delta (Sum Extreme),Satisfied,0.06,153,845,59,44564
Kanban5.pet,fOK546289,BestFS-Delta (Sum Extreme),Satisfied,0.05,352,1598,42,44564
Kanban5.pet,fOK540199,BestFS-Delta (Sum Extreme),Satisfied,0.05,150,849,52,42332
Kanban5.pet,fOK543180,BestFS-Delta (Sum Extreme),Satisfied,0.05,264,1060,49,44564
Kanban5.pet,fOK547802,BestFS-Delta (Sum Extreme),Satisfied,0.05,668,2573,44,44564
Kanban5.pet,fOK547894,BestFS-Delta (Sum Extreme),Satisfied,0.06,410,2000,33,44888
Kanban5.pet,fOK543026,BestFS-Delta (Sum Extreme),Satisfied,0.06,287,1366,51,44564
Kanban5.pet,fOK543863,BestFS-Delta (Sum Extreme),Satisfied,0.05,404,1897,39,44888
Kanban5.pet,fOK548296,BestFS-Delta (Sum Extreme),Satisfied,0.06,143,975,45,44920
Kanban5.pet,fOK546741,BestFS-Delta (Sum Extreme),Satisfied,0.06,146,1031,42,44564
Kanban10.pet,fOK541016,BestFS-Delta (Sum Extreme),Satisfied,0.06,569,3567,118,44564
Kanban10.pet,fOK546289,BestFS-Delta (Sum Extreme),Satisfied,0.07,811,4665,84,44564
Kanban10.pet,fOK540199,BestFS-Delta (Sum Extreme),Satisfied,0.06,559,3520,104,44888
Kanban10.pet,fOK543180,BestFS-Delta (Sum Extreme),Satisfied,0.05,385,2138,98,44888
Kanban10.pet,fOK547802,BestFS-Delta (Sum Extreme),Satisfied,0.07,2062,9201,88,44564
Kanban10.pet,fOK547894,BestFS-Delta (Sum Extreme),Satisfied,0.06,893,6123,66,44756
Kanban10.pet,fOK543026,BestFS-Delta (Sum Extreme),Satisfied,0.06,586,2921,102,44984
Kanban10.pet,fOK543863,BestFS-Delta (Sum Extreme),Satisfied,0.06,906,4828,78,44840
Kanban10.pet,fOK548296,BestFS-Delta (Sum Extreme),Satisfied,0.06,359,2795,90,44888
Kanban10.pet,fOK546741,BestFS-Delta (Sum Extreme),Satisfied,0.06,365,3038,84,44920
Kanban20.pet,fOK541016,BestFS-Delta (Sum Extreme),Satisfied,0.09,2402,14678,236,44888
Kanban20.pet,fOK546289,BestFS-Delta (Sum Extreme),Satisfied,0.08,1956,11941,168,44384
Kanban20.pet,fOK540199,BestFS-Delta (Sum Extreme),Satisfied,0.09,2247,13985,208,44888
Kanban20.pet,fOK543180,BestFS-Delta (Sum Extreme),Satisfied,0.06,775,4370,196,44888
Kanban20.pet,fOK547802,BestFS-Delta (Sum Extreme),Satisfied,0.14,7877,34632,176,44564
Kanban20.pet,fOK547894,BestFS-Delta (Sum Extreme),Satisfied,0.09,2198,15896,132,42332
Kanban20.pet,fOK543026,BestFS-Delta (Sum Extreme),Satisfied,0.07,1176,6045,204,44888
Kanban20.pet,fOK543863,BestFS-Delta (Sum Extreme),Satisfied,0.08,2082,11898,156,45068
Kanban20.pet,fOK548296,BestFS-Delta (Sum Extreme),Satisfied,0.07,1010,7978,180,42332
Kanban20.pet,fOK546741,BestFS-Delta (Sum Extreme),Satisfied,0.08,1054,8926,168,44888
Kanban50.pet,fOK541016,BestFS-Delta (Sum Extreme),Satisfied,0.25,12440,72871,590,44564
Kanban50.pet,fOK546289,BestFS-Delta (Sum Extreme),Satisfied,0.18,7089,45909,420,45056
Kanban50.pet,fOK540199,BestFS-Delta (Sum Extreme),Satisfied,0.25,12235,73142,520,44564
Kanban50.pet,fOK543180,BestFS-Delta (Sum Extreme),Satisfied,0.08,2803,13217,490,42332
Kanban50.pet,fOK547802,BestFS-Delta (Sum Extreme),Satisfied,3.95,273428,1106752,440,188224
Kanban50.pet,fOK547894,BestFS-Delta (Sum Extreme),Satisfied,0.24,8628,65521,330,44808
Kanban50.pet,fOK543026,BestFS-Delta (Sum Extreme),Satisfied,0.09,3035,17023,510,42332
Kanban50.pet,fOK543863,BestFS-Delta (Sum Extreme),Satisfied,0.2,8783,57776,390,44564
Kanban50.pet,fOK548296,BestFS-Delta (Sum Extreme),Satisfied,0.14,4551,35529,450,44824
Kanban50.pet,fOK546741,BestFS-Delta (Sum Extreme),Satisfied,0.15,4949,41242,420,44888
Kanban100.pet,fOK541016,BestFS-Delta (Sum Extreme),Satisfied,1.4,71225,402691,1180,121132
Kanban100.pet,fOK546289,BestFS-Delta (Sum Extreme),Satisfied,0.47,20999,143599,840,112348
Kanban100.pet,fOK540199,BestFS-Delta (Sum Extreme),Satisfied,1.4,74040,429727,1040,121128
Kanban100.pet,fOK543180,BestFS-Delta (Sum Extreme),Satisfied,0.12,5613,26517,980,45140
Kanban100.pet,fOK547802,BestFS-Delta (Sum Extreme),OutOfMemory,-,-,-,-,1081540
Kanban100.pet,fOK547894,BestFS-Delta (Sum Extreme),Satisfied,0.66,26088,209741,660,112744
Kanban100.pet,fOK543026,BestFS-Delta (Sum Extreme),Satisfied,0.14,6075,34123,1020,42284
Kanban100.pet,fOK543863,BestFS-Delta (Sum Extreme),Satisfied,0.92,41003,302046,780,113404
Kanban100.pet,fOK548296,BestFS-Delta (Sum Extreme),Satisfied,0.38,15531,120199,900,113760
Kanban100.pet,fOK546741,BestFS-Delta (Sum Extreme),Satisfied,0.45,17129,142072,840,113140
Kanban200.pet,fOK541016,BestFS-Delta (Sum Extreme),Satisfied,18.58,912075,5038330,2360,696344
Kanban200.pet,fOK546289,BestFS-Delta (Sum Extreme),Satisfied,1.5,69024,494197,1680,124420
Kanban200.pet,fOK540199,BestFS-Delta (Sum Extreme),Satisfied,20.72,973887,5558647,2080,759016
Kanban200.pet,fOK543180,BestFS-Delta (Sum Extreme),Satisfied,0.16,7795,44222,1960,44972
Kanban200.pet,fOK547802,BestFS-Delta (Sum Extreme),OutOfMemory,-,-,-,-,1091584
Kanban200.pet,fOK547894,BestFS-Delta (Sum Extreme),Satisfied,2.36,85898,727472,1320,174844
Kanban200.pet,fOK543026,BestFS-Delta (Sum Extreme),Satisfied,0.21,11796,60981,2040,45004
Kanban200.pet,fOK543863,BestFS-Delta (Sum Extreme),Satisfied,6.16,263562,2053842,1560,316456
Kanban200.pet,fOK548296,BestFS-Delta (Sum Extreme),Satisfied,1.43,56486,434794,1800,121756
Kanban200.pet,fOK546741,BestFS-Delta (Sum Extreme),Satisfied,1.77,62686,519558,1680,171300
Kanban500.pet,fOK541016,BestFS-Delta (Sum Extreme),OutOfMemory,-,-,-,-,1098908
Kanban500.pet,fOK546289,BestFS-Delta (Sum Extreme),Satisfied,9.46,376644,2784037,4200,438896
Kanban500.pet,fOK540199,BestFS-Delta (Sum Extreme),OutOfMemory,-,-,-,-,1048832
Kanban500.pet,fOK543180,BestFS-Delta (Sum Extreme),Satisfied,0.34,19495,110642,4900,112876
Kanban500.pet,fOK547802,BestFS-Delta (Sum Extreme),OutOfMemory,-,-,-,-,1092408
Kanban500.pet,fOK547894,BestFS-Delta (Sum Extreme),Satisfied,14,478838,4171352,3300,618344
Kanban500.pet,fOK543026,BestFS-Delta (Sum Extreme),Satisfied,0.48,29496,152541,5100,113008
Kanban500.pet,fOK543863,BestFS-Delta (Sum Extreme),OutOfMemory,-,-,-,-,1117344
Kanban500.pet,fOK548296,BestFS-Delta (Sum Extreme),Satisfied,9.24,333266,2551594,4500,430396
Kanban500.pet,fOK546741,BestFS-Delta (Sum Extreme),Satisfied,11.01,372766,3075558,4200,491688
Kanban1000.pet,fOK541016,BestFS-Delta (Sum Extreme),OutOfMemory,-,-,-,-,1105588
Kanban1000.pet,fOK546289,BestFS-Delta (Sum Extreme),OutOfMemory,-,-,-,-,1056148
Kanban1000.pet,fOK540199,BestFS-Delta (Sum Extreme),OutOfMemory,-,-,-,-,1114048
Kanban1000.pet,fOK543180,BestFS-Delta (Sum Extreme),Satisfied,0.65,38995,221342,9800,114152
Kanban1000.pet,fOK547802,BestFS-Delta (Sum Extreme),OutOfMemory,-,-,-,-,1104416
Kanban1000.pet,fOK547894,BestFS-Delta (Sum Extreme),OutOfMemory,-,-,-,-,1117660
Kanban1000.pet,fOK543026,BestFS-Delta (Sum Extreme),Satisfied,0.98,58996,305141,10200,121140
Kanban1000.pet,fOK543863,BestFS-Delta (Sum Extreme),OutOfMemory,-,-,-,-,1061160
Kanban1000.pet,fOK548296,BestFS-Delta (Sum Extreme),OutOfMemory,-,-,-,-,1061552
Kanban1000.pet,fOK546741,BestFS-Delta (Sum Extreme),OutOfMemory,-,-,-,-,1063140

